WSO2 Enterprise Service Bus,30/09/2015,AAA Club Alliance,2
WSO2 Data Services Server,30/09/2015,AAA Club Alliance,2
WSO2 Message Broker,30/09/2015,AAA Club Alliance,2
WSO2 Identity Server,26/09/2015,AAA Life Insurance,2
WSO2 Identity Server,1/4/16,ACT .org,2
WSO2 API Manager,1/4/16,ACT .org,3
WSO2 Business Activity Monitor,1/4/16,ACT .org,1
WSO2 Business Process Server,1/4/16,ACT .org,1
WSO2 Enterprise Service Bus,13/01/2016,Alberta Motor Association,2
WSO2 Application Server,13/01/2016,Alberta Motor Association,2
WSO2 API Manager,14/12/2014,Align Technology,3
WSO2 Identity Server,14/12/2014,Align Technology,3
WSO2 Enterprise Service Bus,12/12/15,Alliance Bernstein,1
WSO2 Enterprise Service Bus,1/1/16,Alliander,1
WSO2 Identity Server,1/1/16,Alliander,1
WSO2 API Manager,1/1/16,Alliander,1
WSO2 Enterprise Service Bus,1/1/16,American Express,2
WSO2 Enterprise Service Bus,13/01/2016,American Fidelity Assurance,1
WSO2 Identity Server,13/01/2016,American Fidelity Assurance,1
WSO2 Governance Registry,13/01/2016,American Fidelity Assurance,1
WSO2 API Manager,13/01/2016,American Fidelity Assurance,1
WSO2 Message Broker,13/01/2016,American Fidelity Assurance,1
WSO2 Enterprise Service Bus,12/11/15,AMP Bank Limited,2
WSO2 Enterprise Service Bus,10/11/15,AMP Bank Limited,2
WSO2 Business Process Server,10/11/15,AMP Bank Limited,2
WSO2 API Manager,10/11/15,AMP Bank Limited,4
WSO2 Governance Registry,12/10/15,Banco Popular Dominicano,1
WSO2 Enterprise Service Bus,19/11/2015,Barclays (ABSA),2
WSO2 API Manager,19/11/2015,Barclays (ABSA),2
WSO2 API Manager,10/11/15,Barnes & Noble,4
WSO2 Business Activity Monitor,10/11/15,Barnes & Noble,3
WSO2 Enterprise Service Bus,31/10/2015,Bloomberg,2
WSO2 Data Services Server,31/10/2015,Bloomberg,2
WSO2 API Manager,31/10/2015,Bloomberg,2
WSO2 Business Activity Monitor,31/10/2015,Bloomberg,2
WSO2 Enterprise Service Bus,1/7/16,BLS AG,1
WSO2 Enterprise Service Bus,17/11/2015,BNY Mellon,32
WSO2 Business Activity Monitor,17/11/2015,BNY Mellon,16
WSO2 Complex Event Processing Server,17/11/2015,BNY Mellon,8
WSO2 Enterprise Service Bus,17/11/2015,BNY Mellon,32
WSO2 Business Activity Monitor,17/11/2015,BNY Mellon,16
WSO2 Complex Event Processing Server,17/11/2015,BNY Mellon,8
WSO2 Enterprise Service Bus,17/11/2015,BNY Mellon,4
WSO2 API Manager,17/11/2015,BNY Mellon,20
WSO2 Governance Registry,17/11/2015,BNY Mellon,8
WSO2 Enterprise Service Bus,17/11/2015,BNY Mellon,4
WSO2 API Manager,17/11/2015,BNY Mellon,20
WSO2 Governance Registry,17/11/2015,BNY Mellon,8
WSO2 Business Activity Monitor,17/11/2015,BNY Mellon,4
WSO2 API Manager,12/2/16,Cablevision,5
WSO2 Identity Server,12/2/16,Cablevision,2
WSO2 Data Services Server,12/2/16,Cablevision,2
WSO2 API Manager,7/3/16,Cadreon,2
WSO2 Enterprise Service Bus,1/10/15,Capital Group,4
WSO2 Governance Registry,1/10/15,Capital Group,2
WSO2 Data Services Server,1/10/15,Capital Group,2
WSO2 API Manager,15/09/2015,CBA,1
WSO2 API Manager,15/09/2015,CBA,1
WSO2 Enterprise Service Bus,15/09/2015,CBA,1
WSO2 API Manager,15/09/2015,CBA,2
WSO2 API Manager,18/11/2015,CenturyLink,4
WSO2 API Manager,18/11/2015,CenturyLink,4
WSO2 API Manager,18/11/2015,CenturyLink,4
WSO2 API Manager,26/10/2015,Cetera Financial Group,1
WSO2 Data Services Server,26/10/2015,Cetera Financial Group,1
WSO2 Enterprise Service Bus,16/09/2015,Chaparral Energy,1
WSO2 Data Services Server,16/09/2015,Chaparral Energy,1
WSO2 Enterprise Service Bus,31/01/2016,CINECA,1
WSO2 Identity Server,31/01/2016,CINECA,1
WSO2 Governance Registry,31/01/2016,CINECA,1
WSO2 Enterprise Service Bus,12/10/15,CIRB,4
WSO2 Identity Server,12/10/15,CIRB,2
WSO2 API Manager,11/12/15,Cisco Systems US,2
WSO2 API Manager,1/9/15,Cisco Systems US,2
WSO2 Enterprise Service Bus,30/09/2015,Commercial Credit PLC,3
Any WSO2 Carbon product,1/1/16,Concur Technologies Ltd,18
WSO2 Enterprise Service Bus,1/1/16,Concur Technologies Ltd,1
WSO2 Business Process Server,1/1/16,Concur Technologies Ltd,1
WSO2 Application Server,1/1/16,Concur Technologies Ltd,1
WSO2 Enterprise Service Bus,1/7/16,CSI Piemonte (www.csi.it),12
WSO2 Governance Registry,1/7/16,CSI Piemonte (www.csi.it),1
WSO2 Business Activity Monitor,1/7/16,CSI Piemonte (www.csi.it),4
WSO2 API Manager,1/7/16,CSI Piemonte (www.csi.it),3
WSO2 Enterprise Service Bus,16/09/2015,CXtec,1
WSO2 Identity Server,1/1/16,Digipolis Antwerpen,2
WSO2 API Manager,1/10/14,Digipolis Antwerpen,1
WSO2 Enterprise Service Bus,1/10/14,Digipolis Antwerpen,1
WSO2 Enterprise Service Bus,1/1/16,Directorate-General of Customs and Indirect Taxes,6
WSO2 Application Server,1/11/15,Dominos Pizza,2
WSO2 Business Process Server,1/11/15,Dominos Pizza,2
WSO2 Enterprise Service Bus,1/11/15,Dominos Pizza,2
WSO2 Governance Registry,1/11/15,Dominos Pizza,1
WSO2 Message Broker,1/11/15,Dominos Pizza,2
WSO2 API Manager,1/11/15,Dubai EGovernment,1
WSO2 Business Activity Monitor,1/11/15,Dubai EGovernment,1
WSO2 Data Services Server,1/11/15,Dubai EGovernment,1
WSO2 Identity Server,1/11/15,Dubai EGovernment,2
WSO2 API Manager,14/10/2015,E.On Business Services GmbH,4
WSO2 Enterprise Service Bus,14/10/2015,E.On Business Services GmbH,2
WSO2 Identity Server,18/04/2016,E*Trade Financial,2
WSO2 Enterprise Service Bus,1/1/16,eBay,128
WSO2 Enterprise Service Bus,1/1/16,eBay,384
WSO2 API Manager,1/1/15,EB Games,2
WSO2 Enterprise Service Bus,1/9/15,Editora Globo S/A,1
WSO2 Enterprise Service Bus,16/12/2016,E-Government Center of the Republic of Moldova,2
WSO2 Business Activity Monitor,16/12/2016,E-Government Center of the Republic of Moldova,2
